id,created_at,attendance,content_title,country,created_by,description,genre,image,is_collect,kind,regulation,release_date,running_time,series_no,star_rate,status,tomato,updated_at,updated_by
1,2017-09-17 03:16:21,837,크로스 플랫폼 고단계 GUI,부탄,박정호,융합된 교훈적 프레임워크,코미디,develop,0,드라마,5,2016-03-09,2021-01-01,,4.5,1,78,2017-09-17 03:16:21,박정호
2,2014-03-08 00:08:11,385,리버스 엔지니어링된 다이나믹 연합,모로코,최영철,객체 기반의 지역적 웹 사이트,스릴러,develop,0,TV쇼,1,2011-12-05,2021-01-01,,0.0,1,5,2014-03-08 00:08:11,최영철
3,2001-02-15 13:41:44,221,프로그래밍 가능한 보조 예산 관리,라이베리아,손민준,자동화된 무관리 솔루션,스릴러,develop,1,드라마,6,2002-12-22,2021-01-01,,3.5,0,35,2001-02-15 13:41:44,손민준
4,2010-07-18 15:33:34,141,융합력있는 로컬 환경,세르비아,김상철,모니터링되는 최적화된 환경,순정,develop,0,TV쇼,7,2008-05-25,2021-01-01,,0.0,1,56,2010-07-18 15:33:34,김상철
5,2012-08-26 17:49:49,293,융합된 취약점 인트라넷,세르비아,최재현,다양한 결합된 인트라넷,스릴러,develop,1,영화,1,2014-11-02,2021-01-01,,4.5,0,41,2012-08-26 17:49:49,최재현
6,2020-09-16 14:23:56,870,크로스 플랫폼 분리형 접근,도미니카 연방,김정웅,비즈니스 중점적 작동 포탈,다큐멘터리,develop,1,드라마,6,2012-06-14,2021-01-01,,2.0,0,36,2020-09-16 14:23:56,김정웅
7,2009-04-20 16:08:56,961,유기농 인간자원 시너지,레소토,이지원,공개 키 멀티미디어 벤치마크,순정,develop,1,TV쇼,5,2002-05-22,2021-01-01,,5.0,1,63,2009-04-20 16:08:56,이지원
8,2004-05-16 19:45:48,570,낮은 다이나믹 제품,스리랑카,박성민,함수 기반의 24시간 모니터링,스릴러,develop,0,드라마,0,2006-08-01,2021-01-01,,5.0,0,72,2004-05-16 19:45:48,박성민
9,2011-08-23 15:09:19,68,원활한 합성물 아키텍쳐,그레나다,이영순,최적화된 범국가적 제품,코미디,develop,1,TV쇼,0,2006-12-01,2021-01-01,,1.5,0,73,2011-08-23 15:09:19,이영순
10,2000-05-07 00:36:54,326,확장된 클라이언트-서버 시너지,베트남,황병철,안정적인 근본적 데이터베이스,다큐멘터리,develop,0,TV쇼,3,2007-12-11,2021-01-01,,3.0,1,3,2000-05-07 00:36:54,황병철
11,2007-04-17 05:49:01,512,1:1 웹 사용 가능 프로토콜,바하마,이상훈,수익에 중점을 둔 다음 세대 모델,코미디,develop,1,영화,1,2008-05-06,2021-01-01,,4.5,1,6,2007-04-17 05:49:01,이상훈
12,2010-09-22 19:58:18,601,동기화 객체 지향적 관리자,터키,나서준,변경 가능한 잘 모듈화된 태도,스릴러,develop,0,드라마,0,2019-12-09,2021-01-01,,3.5,1,91,2010-09-22 19:58:18,나서준
13,2014-03-17 02:27:50,527,무결점의 취약점 아키텍쳐,우즈베키스탄,전명숙,총 선구적 환경,다큐멘터리,develop,0,영화,3,2001-10-18,2021-01-01,,3.5,0,14,2014-03-17 02:27:50,전명숙
14,2011-04-28 07:25:36,348,설정 가능한 실행 모니터링,탄자니아,박민수,오픈소스 인간자원 그룹웨어,코미디,develop,1,영화,0,2009-01-07,2021-01-01,,2.5,1,92,2011-04-28 07:25:36,박민수
15,2014-03-26 10:51:05,408,유저 친화적 안정적 분석,앤티가 바부다,구춘자,단체 기반의 헌신적 예산 관리,공포,develop,1,영화,1,2018-10-15,2021-01-01,,0.5,0,28,2014-03-26 10:51:05,구춘자
16,2012-02-26 10:43:05,620,조절 가능한 안정적 안내 창구,스와질란드,문옥자,출판된 환경 친화적 아키텍쳐,다큐멘터리,develop,1,영화,3,2000-05-05,2021-01-01,,2.5,0,47,2012-02-26 10:43:05,문옥자
17,2019-01-07 22:24:27,472,확장된 환경 친화적 공구,오스트레일리아,권지후,1:1 안정적 하드웨어,다큐멘터리,develop,0,TV쇼,2,2017-11-06,2021-01-01,,3.0,1,71,2019-01-07 22:24:27,권지후
18,2017-12-23 16:08:33,507,함수 기반의 24시간 고객 만족,도미니카 연방,김미경,동기화 해답 기반 패러다임,순정,develop,1,드라마,7,2000-05-26,2021-01-01,,1.5,1,46,2017-12-23 16:08:33,김미경
19,2003-03-14 08:29:27,751,수익에 중점을 둔 해답 기반 안내 창구,네팔,김지영,자가 이용 가능한 국가적 어댑터,순정,develop,1,영화,1,2013-02-27,2021-01-01,,3.5,0,63,2003-03-14 08:29:27,김지영
20,2009-12-27 00:50:55,317,융합된 물류 프로토콜,리투아니아,김민서,무결점의 무해한 능력,공포,develop,0,드라마,0,2019-08-16,2021-01-01,,2.0,1,98,2009-12-27 00:50:55,김민서
21,2017-10-02 19:19:00,867,중심이 가치추가 인터페이스,바레인,김동현,줄어든 비동기 관리자,다큐멘터리,develop,0,TV쇼,1,2008-11-19,2021-01-01,,2.0,0,18,2017-10-02 19:19:00,김동현
22,2011-07-06 00:51:59,217,1:1 컨텐츠 기반 관리자,우크라이나,김예지,출판된 분리된 인공지능,공포,develop,1,영화,6,2020-12-28,2021-01-01,,5.0,0,66,2011-07-06 00:51:59,김예지
23,2011-06-11 22:23:18,659,조절 가능한 교훈적 표준,모리타니,남성현,수익에 중점을 둔 안정적 고객 만족,코미디,develop,0,드라마,2,2000-07-23,2021-01-01,,4.5,1,24,2011-06-11 22:23:18,남성현
24,2005-04-08 19:32:06,220,복제된 요약 시너지,네덜란드 왕국,하지후,멀티 레이어 잘 모듈화된 그래픽 인터페이스,다큐멘터리,develop,0,TV쇼,0,2011-10-28,2021-01-01,,5.0,1,35,2005-04-08 19:32:06,하지후
25,2009-07-28 08:30:57,256,융합된 취약점 펌웨어,미국,이현주,중심이 주파수 탐지 가능 전략,다큐멘터리,develop,0,영화,4,2009-12-11,2021-01-01,,1.5,1,69,2009-07-28 08:30:57,이현주
26,2014-06-22 01:43:35,890,재정렬 확장 그래픽 인터페이스,리히텐슈타인,황은지,비즈니스 중점적 문맥 기반 분석,공포,develop,0,드라마,5,2018-09-12,2021-01-01,,0.5,0,2,2014-06-22 01:43:35,황은지
27,2008-02-28 12:44:19,455,적응된 컨텐츠 기반 예보,수리남,권은경,복제된 클라이언트-서버 시너지,다큐멘터리,develop,1,드라마,5,2004-01-23,2021-01-01,,0.0,0,98,2008-02-28 12:44:19,권은경
28,2003-07-22 23:11:28,551,동기화 무해한 융합,지부티,김예진,공개 키 정적 관리자,공포,develop,1,TV쇼,3,2004-05-16,2021-01-01,,4.0,0,28,2003-07-22 23:11:28,김예진
29,2020-12-12 16:29:56,912,확대된 5세대 공구,니제르,최영호,융합력있는 다이나믹 소프트웨어,공포,develop,1,TV쇼,3,2012-07-21,2021-01-01,,5.0,0,37,2020-12-12 16:29:56,최영호
30,2014-06-26 03:52:21,875,확대된 결합된 그래픽 인터페이스,도미니카 공화국,이지혜,조직화된 최적화된 마이그레이션,공포,develop,1,영화,4,2005-05-28,2021-01-01,,4.0,0,65,2014-06-26 03:52:21,이지혜
31,2007-02-04 09:02:52,774,다용도 4세대 태도,잠비아,이상철,다중 주파수 요약 축적,공포,develop,0,드라마,3,2008-12-09,2021-01-01,,2.0,0,37,2007-02-04 09:02:52,이상철
32,2000-04-07 01:23:13,451,멀티 채널 합성물 보안구역,그리스,김준혁,함수 기반의 다이나믹 정책,다큐멘터리,develop,0,TV쇼,3,2002-06-17,2021-01-01,,4.5,0,80,2000-04-07 01:23:13,김준혁
33,2009-10-10 19:10:38,305,함수 기반의 지역적 벤치마크,세인트루시아,박수빈,반동적인 비동기 지원,다큐멘터리,develop,0,영화,7,2016-05-19,2021-01-01,,4.0,1,86,2009-10-10 19:10:38,박수빈
34,2012-08-02 15:30:18,757,트리플 버퍼 역수 연합,남아프리카 공화국,이영순,중심이 클라이언트-서버 인코딩,공포,develop,0,영화,2,2004-12-06,2021-01-01,,4.0,0,25,2012-08-02 15:30:18,이영순
35,2003-04-24 10:44:58,648,강력한 객체 지향적 연합,라오스,이서현,다중 주파수 실시간 분석,코미디,develop,1,드라마,6,2003-09-09,2021-01-01,,0.5,1,78,2003-04-24 10:44:58,이서현
36,2003-10-26 14:09:31,813,미래가 보장된 보조 예보,루마니아,이수진,확대된 인간자원 엑스트라넷,순정,develop,1,TV쇼,7,2020-01-16,2021-01-01,,1.5,0,55,2003-10-26 14:09:31,이수진
37,2009-09-22 09:32:26,186,안정적인 물류 정의,튀니지,류아름,출판된 다음 세대 유연성,코미디,develop,0,드라마,0,2003-12-07,2021-01-01,,4.5,1,0,2009-09-22 09:32:26,류아름
38,2018-05-01 17:40:33,864,모니터링되는 그리드 가능 컨셉,도미니카 연방,김성훈,크로스 플랫폼 클라이언트-서버 엔진,공포,develop,0,드라마,6,2021-08-23,2021-01-01,,4.0,1,63,2018-05-01 17:40:33,김성훈
